,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
0,0,hHBB_10383581_START_reference_hHBB,PSU,0.0,1,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02701972 0.02377141 0.0217687  ... 0.01885223 0.01885223 0.01885223],"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 396],[6.61298749 7.64687087],[110 396],[6.61298749 7.64687087],[ 23.77029983 879.71161646],[105.1284285 282.026325 ],[10.6425256 95.046248 ],[ 94.4859029 186.980077 ],511.68073074399996,0.3654233309277156,1.0
1,1,hHBB_10383581_START_reference_hHBB,PSU,0.5,1,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06694665 -0.03728778  0.0537262  ... -0.09466171 -0.09466171
 -0.09466171]","[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 396],[6.54935255 8.32936572],[110 396],[6.54935255 8.32936572],[ 23.77029983 879.71161646],[102.08983266 270.017526  ],[ 8.17908602 93.922776  ],[ 93.91074664 176.09475   ],523.1245761211,0.3366210612885357,0.9211810872445982
2,2,hHBB_10383581_START_reference_hHBB,PSU,1.0,1,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02280474 -0.04752164 -0.0623352  ...  0.05353546  0.05353546
  0.05353546]","[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[ 72 110 397],[3.95268567 6.44327632 8.96851939],[110 397],[6.44327632 8.96851939],[ 23.77029983 886.28602382],[104.41367619 201.452777  ],[ 8.30125933 81.645885  ],[ 96.11241686 119.806892  ],535.7672061559999,0.22361744172359016,0.6119407897571376
3,3,hHBB_10383581_START_reference_hHBB,PSU,1.5,1,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.07159218 0.06783797 0.03424506 ... 0.09998703 0.09998703 0.09998703],"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 399],[6.49535473 9.94707513],[110 399],[6.49535473 9.94707513],[ 23.77029983 899.54150012],[109.400334 145.145992],[ 7.3126564 60.91751  ],[102.0876776  84.228482 ],505.00636585100017,0.16678697080989113,0.4564212426898469
4,4,hHBB_10383581_START_reference_hHBB,PSU,2.0,1,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0463919  0.05075569 0.03098831 ... 0.2251396  0.2251396  0.2251396 ],"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 401],[ 6.54358196 10.70925115],[110 401],[ 6.54358196 10.70925115],[ 23.77029983 912.93999572],[107.58936203 134.435665  ],[ 8.93155571 60.852231  ],[98.65780632 73.583434  ],544.064104923,0.13524772785812447,0.37011245974570195
5,5,hHBB_10383581_START_reference_hHBB,PSU,3.0,1,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02761688 -0.03940488 -0.04122589 ...  0.1419716   0.1419716
  0.1419716 ]","[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 402],[ 6.3939594  13.71267504],[110 402],[ 6.3939594  13.71267504],[ 23.77029983 919.69317776],[ 96.783183 113.791555],[ 6.5096682 60.81257  ],[90.2735148 52.978985 ],541.4354998600002,0.09784911594030841,0.26776920809050353
6,6,hHBB_10383581_START_reference_hHBB,PSU,4.0,1,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02057996 -0.01942393 -0.02831762 ...  0.2970772   0.2970772
  0.2970772 ]","[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 405],[ 6.50781328 19.26938694],[110 405],[ 6.50781328 19.26938694],[ 23.77029983 940.16991401],[96.683155  93.8857945],[ 8.002526 53.901538],[88.680629  39.9842565],485.5717203599998,0.08234469764910517,0.2253405589622677
7,7,hHBB_10383581_START_reference_hHBB,PSU,5.0,1,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05702952 0.05984303 0.06642259 ... 0.07274628 0.07274628 0.07274628],"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 408],[ 6.43318591 20.47255379],[110 408],[ 6.43318591 20.47255379],[ 23.77029983 960.97498525],[90.23175832 66.725385  ],[ 5.76669394 37.8756147 ],[84.46506438 28.8497703 ],419.94523827600017,0.06869888659396843,0.18799808545217864
8,8,hHBB_10383581_START_reference_hHBB,PSU,18.0,1,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04365603 0.04181503 0.04772471 ... 0.1568184  0.1568184  0.1568184 ],"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 227],[  6.37965726 132.04451583],[110 408],[ 6.43318591 20.47255379],[ 23.77029983 960.97498525],[91.91809472 12.4752486 ],[6.65107818 7.3552227 ],[85.26701655  5.1200259 ],337.8263239599995,0.015155793189775934,0.04147461835920351
9,9,hHBB_10383581_START_reference_hHBB,PSU,24.0,1,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.02349859 -0.00290134 -0.01448338 ...  0.08995819  0.08995819
  0.08995819]","[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[110 228],[  6.42561904 115.6548778 ],[110 408],[ 6.43318591 20.47255379],[ 23.77029983 960.97498525],[92.86037722  6.91363256],[6.83025784 6.4053402 ],[86.03011938  0.50829236],318.52238918800003,0.0015957822032409519,0.004366941210868152
