,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,nts,times,fu,peak_index,peak_nts,peak_widths,peak_area,background_area,peak_area_backsub,total_area,total_mRNA,fraction_intact,fraction_norm
0,hHBB_10383581_START_reference_hHBB,PSU,0.0,1,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample2.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02701972 0.02377141 0.0217687  ... 0.01885223 0.01885223 0.01885223],"[110, 396]",[ 23.77029983 879.71161646],"[6.612987494186456, 7.646870868381768]",[108.25966171 337.802334  ],[-0.58693572 57.421728  ],[108.84659743 280.380606  ],398.204812484,289.35821505399997,0.9689740654077348,1.0
1,hHBB_10383581_START_reference_hHBB,PSU,0.5,1,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample3.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06694665 -0.03728778  0.0537262  ... -0.09466171 -0.09466171
 -0.09466171]","[110, 396]",[ 23.77029983 879.71161646],"[6.549352550883498, 8.329365721273405]",[103.67551473 313.544238  ],[-1.62224202 65.852644  ],[105.29775675 247.691594  ],424.9229332311,319.62517648109997,0.77494394129696,0.799757154460962
2,hHBB_10383581_START_reference_hHBB,PSU,1.0,1,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample4.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02280474 -0.04752164 -0.0623352  ...  0.05353546  0.05353546
  0.05353546]","[110, 397]",[ 23.77029983 886.28602382],"[6.443276321210817, 8.968519388068614]",[106.65594486 238.362963  ],[-0.330974 63.982197],[106.98691886 174.380766  ],428.39841103000003,321.41149217000003,0.5425467671447388,0.5599187702886975
3,hHBB_10383581_START_reference_hHBB,PSU,1.5,1,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample5.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.07159218 0.06783797 0.03424506 ... 0.09998703 0.09998703 0.09998703],"[110, 399]",[ 23.77029983 899.54150012],"[6.4953547250465675, 9.947075131585166]",[111.10787039 168.190639  ],[ 3.324402 56.563425],[107.78346839 111.627214  ],388.4676228000001,280.6841544100001,0.39769688543566384,0.41043088729966876
4,hHBB_10383581_START_reference_hHBB,PSU,2.0,1,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample6.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0463919  0.05075569 0.03098831 ... 0.2251396  0.2251396  0.2251396 ],"[110, 401]",[ 23.77029983 912.93999572],"[6.543581957243518, 10.709251146375834]",[110.05236372 155.511247  ],[-0.35005162 58.0119045 ],[110.40241534  97.4993425 ],425.069613,314.66719765799996,0.30984908254074967,0.3197702535107255
5,hHBB_10383581_START_reference_hHBB,PSU,3.0,1,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample7.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02761688 -0.03940488 -0.04122589 ...  0.1419716   0.1419716
  0.1419716 ]","[110, 402]",[ 23.77029983 919.69317776],"[6.393959401349122, 13.71267503533204]",[ 98.5507878 130.6112238],[ 2.817683  64.4451318],[95.7331048 66.166092 ],433.8874295,338.1543247,0.19566833001086253,0.20193350575232086
6,hHBB_10383581_START_reference_hHBB,PSU,4.0,1,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample8.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02057996 -0.01942393 -0.02831762 ...  0.2970772   0.2970772
  0.2970772 ]","[110, 405]",[ 23.77029983 940.16991401],"[6.507813275090939, 19.26938693843732]",[ 98.37801193 104.8081565 ],[ 4.7575584  66.22116635],[93.62045353 38.58699015],378.9458719,285.32541836999997,0.1352385299930122,0.1395687818910872
7,hHBB_10383581_START_reference_hHBB,PSU,5.0,1,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample9.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05702952 0.05984303 0.06642259 ... 0.07274628 0.07274628 0.07274628],"[110, 405]",[ 23.77029983 940.16991401],"[6.507813275090939, 19.26938693843732]",[91.33533339 75.7743072 ],[-0.97669803 58.07436965],[92.31203142 17.69993755],327.2123317,234.90030028,0.0753508511010917,0.07776353753016578
8,hHBB_10383581_START_reference_hHBB,PSU,18.0,1,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample10.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04365603 0.04181503 0.04772471 ... 0.1568184  0.1568184  0.1568184 ],"[110, 405]",[ 23.77029983 940.16991401],"[6.507813275090939, 19.26938693843732]",[93.31274882 15.45219911],[-0.19507042 11.43826215],[93.50781924  4.01393696],226.74251809999998,133.23469885749998,0.030126813768634506,0.031091455224818054
9,hHBB_10383581_START_reference_hHBB,PSU,24.0,1,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample11.csv,"[  -36.92851053   -36.46721393   -36.00665652 ... 19893.25869972
 19956.56926645 20020.02676742]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.02349859 -0.00290134 -0.01448338 ...  0.08995819  0.08995819
  0.08995819]","[110, 405]",[ 23.77029983 940.16991401],"[6.507813275090939, 19.26938693843732]",[94.79190001  9.16807315],[0.69252981 4.35111578],[94.0993702   4.81695738],203.96112281,109.86175261,0.04384562653118957,0.045249535665064226
10,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.0,2,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample2.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01783875 -0.01177699 -0.02881628 ...  0.08840179  0.08840179
  0.08840179]","[110, 394]",[ 25.         844.32245225],"[6.471779949286457, 7.202642628050853]",[132.09293165 281.1272033 ],[-0.6491646 30.3572929],[132.74209625 250.7699104 ],342.652065062,209.90996881200002,1.1946546027292069,1.0
11,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.5,2,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample3.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04864907 -0.05074177 -0.05902145 ...  0.1242523   0.1242523
  0.1242523 ]","[110, 392]",[ 25.         832.00423403],"[6.490197578029196, 7.500029020685588]",[138.9932138 304.903957 ],[ 1.0955559 47.583264 ],[137.8976579 257.320693 ],447.29657251799995,309.39891461799994,0.831679365513294,0.6961672131956046
12,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.0,2,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample4.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0142477  -0.03087246 -0.05142898 ...  0.04119873  0.04119873
  0.04119873]","[110, 394]",[ 25.         844.32245225],"[6.450878715664601, 7.676097876424649]",[140.73698496 214.647552  ],[ 1.3406195 46.688244 ],[139.39636546 167.959308  ],361.643739603,222.24737414299997,0.7557313495723481,0.6325940132368537
13,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.5,2,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample5.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04522844 -0.05811139 -0.05803428 ...  0.1596107   0.1596107
  0.1596107 ]","[110, 393]",[ 25.         838.13938631],"[6.489332320178676, 8.042903993695234]",[142.3882807 231.958538 ],[-1.3444443 53.073046 ],[143.732725 178.885492],418.91002766299994,275.177302663,0.6500735717257713,0.544151899838387
14,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,2.0,2,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample6.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06702551 -0.08277176 -0.07640293 ...  0.1232681   0.1232681
  0.1232681 ]","[110, 393]",[ 25.         838.13938631],"[6.550169370801569, 8.2604836719741]",[150.27803331 193.568587  ],[-0.79317788 55.5807265 ],[151.07121119 137.9878605 ],417.911187155,266.83997596999995,0.5171183965160961,0.43286017174732444
15,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3.0,2,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample7.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05369951 0.04526141 0.02664361 ... 0.1737709  0.1737709  0.1737709 ],"[110, 392]",[ 25.         832.00423403],"[6.446772585723039, 8.895497096452743]",[141.282916 185.376977],[ 0.9825185  65.11389255],[140.3003975  120.26308445],517.792055888,377.49165838700003,0.3185847469156727,0.26667519313771604
16,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,4.0,2,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample8.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04809255 -0.03580452 -0.03159612 ...  0.09120941  0.09120941
  0.09120941]","[110, 393]",[ 25.         838.13938631],"[6.512573999427261, 9.953905074709724]",[141.7919249 100.1881565],[-0.18087258 42.86355   ],[141.97279748  57.3246065 ],317.0385090882,175.06571160820002,0.32744622561094916,0.27409280043193507
