,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area,peak_area_subtracted,peak_area_subtracted_normalized,fraction_intact,fraction_intact_nop4p6
0,hHBB_10383581_START_reference_hHBB,PSU,0,1,1,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample1.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,172.83166599004375,2590.0108922850836,265.03275574450066,3040.2928721175517,2324.978136540583,13.452269427724646,0.7647217667294155,0.8108141555925196
1,hHBB_10383581_START_reference_hHBB,PSU,1,1,2,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample2.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,219.4631436429515,1630.6135543238045,373.6375850644936,2544.782580223253,1256.975969259311,5.727503709252919,0.49394238196531387,0.5405605567499427
2,hHBB_10383581_START_reference_hHBB,PSU,3,1,3,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample3.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,283.585563984986,916.4128684538645,318.58542141539317,2100.5954645774855,597.8274470384713,2.1081025375118263,0.2845990373299785,0.3290171654230001
3,hHBB_10383581_START_reference_hHBB,PSU,5,1,4,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample4.csv,[ 23.34814491 282.58199462 857.84402345],757.8440234481005,957.8440234481005,290.8175222807312,646.5674510167456,274.8413580596098,1861.0422980871801,371.72609295713585,1.2782107833182836,0.19974080833047375,0.23673431898705186
4,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0,1,5,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample5.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,188.14148409281924,1684.1428311221528,226.49203606991935,2155.08245292093,1457.6507950522334,7.747631002703818,0.6763782021781023,0.7410750084282861
5,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1,1,6,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample6.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,175.15697747872167,1227.3124526542429,179.1516109052997,1678.9148810638328,1048.160841748943,5.984122681474537,0.6243085063876396,0.6970276526893202
6,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3,1,7,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample7.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,202.53533678988813,957.2906432974071,190.58048389417866,1737.692900175462,766.7101594032284,3.78556241866386,0.44122304886312796,0.4994341803667091
7,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5,1,8,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample8.csv,[ 23.34814491 279.69296203 870.83230289],770.8323028940806,970.8323028940806,174.83057059360925,799.1082172769144,208.5253615756104,1664.7358991349765,590.582855701304,3.3780296757945383,0.3547606896734673,0.39638951843973247
8,hHBB_10383653_GC_rich_2_hHBB,PSU,0,1,9,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample9.csv,[ 23.34814491 279.69296203 857.84402345],757.8440234481005,957.8440234481005,167.45676037450392,2601.126536759878,244.97986523365915,3028.6742373866578,2356.146671526219,14.070179467564532,0.7779465491670903,0.8234769605792572
9,hHBB_10383653_GC_rich_2_hHBB,PSU,1,1,10,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample10.csv,[ 23.34814491 279.69296203 857.84402345],757.8440234481005,957.8440234481005,198.7207807323407,1546.420329208774,298.06111652370794,2356.192602667644,1248.3592126850663,6.281976188320716,0.5298205296424807,0.5786213289058202
10,hHBB_10383653_GC_rich_2_hHBB,PSU,3,1,11,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample11.csv,[ 23.34814491 279.69296203 857.84402345],757.8440234481005,957.8440234481005,271.14025828599773,978.5603157623913,321.5739266209054,2199.5153876561963,656.9863891414859,2.423049949478543,0.29869597313505075,0.34069428667442714
11,hHBB_10383653_GC_rich_2_hHBB,PSU,5,1,12,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample12.csv,[ 23.34814491 279.69296203 857.84402345],757.8440234481005,957.8440234481005,248.73590080383377,694.0588285864022,323.14929770612497,1899.443359725984,370.90953088027726,1.4911781117306264,0.19527275134636557,0.2246973131886538
12,hHBB_10383651_GC_rich_1_hHBB,PSU,0,2,1,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample1.csv,[ 23.18332976 278.33960865 833.86939309],733.8693930869786,933.8693930869786,174.1001229096788,2549.992686499211,245.88129118622885,3025.6399164882464,2304.111395312982,13.234404185391238,0.7615286216832051,0.8080235809795293
