,Sample,Nucleotide,Timepoint,Plate,FileNumber,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area,double_normalized
0,hHBB_10383581_START_reference_hHBB,PSU,0.0,1,2,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample2.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,83.20387649195334,505.98585167198183,2240.7958048445403,1734.8099531725584,20.850109710216834,0.24418085955564295
1,hHBB_10383581_START_reference_hHBB,PSU,0.5,1,3,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample3.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,80.64114261072963,578.9120989417418,2098.3195935252593,1519.4074945835175,18.841591840011382,0.2387607295994141
2,hHBB_10383581_START_reference_hHBB,PSU,1.0,1,4,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample4.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,82.14923208638193,573.9787840398533,1608.4071845938918,1034.4284005540385,12.59206415303203,0.15177137588611536
3,hHBB_10383581_START_reference_hHBB,PSU,1.5,1,5,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample5.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,84.28899992098903,534.2550402967806,1128.173388795347,593.9183484985663,7.046214204170111,0.07954920830085283
4,hHBB_10383581_START_reference_hHBB,PSU,2.0,1,6,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample6.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,84.50713621246126,584.3051925444456,1005.8171723160657,421.5119797716201,4.987886214862227,0.056937125784256554
5,hHBB_10383581_START_reference_hHBB,PSU,3.0,1,7,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample7.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,74.7749674469053,568.0874700580616,770.0314254751197,201.94395541705808,2.700689312375166,0.03320467255762854
6,hHBB_10383581_START_reference_hHBB,PSU,4.0,1,8,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample8.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,74.783087494965,516.2719420575415,496.95488305053743,-19.317059007004104,-0.2583078561486871,-0.003179971503818342
7,hHBB_10383581_START_reference_hHBB,PSU,5.0,1,9,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample9.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,70.91657494257146,399.7912225904741,353.5820329816692,-46.20918960880488,-0.651599286150315,-0.00911967289108997
8,hHBB_10383581_START_reference_hHBB,PSU,18.0,1,10,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample10.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,72.24507070647473,58.85007112253476,61.00691719696529,2.1568460744305327,0.029854577666531816,0.0004020779732170688
9,hHBB_10383581_START_reference_hHBB,PSU,24.0,1,11,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample11.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,73.23314800793969,28.660005591953404,32.10322119600779,3.4432156040543838,0.047017173202510455,0.0006180300130754822
10,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.0,2,2,,,,,,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample2.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,93.1146004186404,255.56273353745226,1790.6266896070604,1535.0639560696081,16.48574927205838,0.029337189613619946
