,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area,peak_area_subtracted,fraction_intact,all_id_peaks
0,hHBB_10383581_START_reference_hHBB,PSU,0.0,1,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample2.csv,879.7116164596414,779.7116164596414,979.7116164596414,85.4467561932827,2240.7958048445403,505.98585167198183,2446.452028905367,1734.8099531725584,0.7091125976211258,[ 23.77029983 879.71161646]
1,hHBB_10383581_START_reference_hHBB,PSU,0.5,1,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample3.csv,879.7116164596414,779.7116164596414,979.7116164596414,81.20765483817493,2098.3195935252593,578.9120989417418,2544.2820396077122,1519.4074945835175,0.5971851669470519,[ 23.77029983 879.71161646]
2,hHBB_10383581_START_reference_hHBB,PSU,1.0,1,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample4.csv,886.2860238246948,786.2860238246948,986.2860238246948,83.91267593046847,1620.750651954035,541.5471040209175,2361.2296719362175,1079.2035479331175,0.45705149344839735,[ 23.77029983 292.9662632  886.28602382]
3,hHBB_10383581_START_reference_hHBB,PSU,1.5,1,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample5.csv,899.5415001177655,799.5415001177655,999.5415001177655,87.91243614764123,1126.0920521590563,456.3447046229676,1991.7445142622664,669.7473475360887,0.3362616755011675,[ 23.77029983 284.11628116 899.54150012]
4,hHBB_10383581_START_reference_hHBB,PSU,2.0,1,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample6.csv,912.9399957181688,812.9399957181688,1012.9399957181688,86.82443451438152,1008.8926297047145,441.7290427690188,2084.3074388713244,567.1635869356958,0.27211129047393373,[ 23.77029983 284.11628116 912.93999572]
5,hHBB_10383581_START_reference_hHBB,PSU,3.0,1,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample7.csv,919.6931777638588,819.6931777638588,1019.6931777638588,78.39780094557199,770.1853646889894,424.1842090093905,1995.4480229607366,346.00115567959887,0.17339522337756574,[ 23.77029983 281.20840542 919.69317776]
6,hHBB_10383581_START_reference_hHBB,PSU,4.0,1,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample8.csv,940.1699140054327,840.1699140054327,1040.1699140054327,78.76554675327887,520.5136913723092,334.6943836720464,1659.5961403652054,185.81930770026275,0.11196658221883544,[ 23.77029983 292.9662632  940.16991401]
7,hHBB_10383581_START_reference_hHBB,PSU,5.0,1,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample9.csv,960.9749852537599,860.9749852537599,1060.9749852537598,71.71109279255194,367.5521428600302,221.88996819138433,1390.487135657469,145.66217466864586,0.10475621883389226,[ 23.77029983 287.04514843 960.97498525]
8,hHBB_10383581_START_reference_hHBB,PSU,18.0,1,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample10.csv,960.9749852537599,860.9749852537599,1060.9749852537598,73.39185061683645,60.30114186675309,60.8044204973232,571.8562130408102,-0.503278630570108,-0.0008800789763111165,[ 23.77029983 185.27692293]
9,hHBB_10383581_START_reference_hHBB,PSU,24.0,1,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample11.csv,960.9749852537599,860.9749852537599,1060.9749852537598,75.21842770033284,34.4991134884637,31.83867694575963,455.5840624622737,2.660436542704069,0.005839617234029946,[ 23.77029983 187.46080694]
