,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area
0,hHBB_10383581_START_reference_hHBB,PSU,0.0,1,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample2.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,85.4467561932827,2240.7958048445403,505.98585167198183,2446.452028905367
1,hHBB_10383581_START_reference_hHBB,PSU,0.5,1,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample3.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,81.20765483817493,2098.3195935252593,578.9120989417418,2544.2820396077122
2,hHBB_10383581_START_reference_hHBB,PSU,1.0,1,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample4.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,83.91267593046847,1608.4071845938918,573.9787840398533,2335.3676296188114
3,hHBB_10383581_START_reference_hHBB,PSU,1.5,1,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample5.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,87.91243614764123,1128.173388795347,534.2550402967806,1950.9206244082034
4,hHBB_10383581_START_reference_hHBB,PSU,2.0,1,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample6.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,86.82443451438152,1005.8171723160657,584.3051925444456,1996.3670521692197
5,hHBB_10383581_START_reference_hHBB,PSU,3.0,1,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample7.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,78.39780094557199,770.0314254751197,568.0874700580616,1895.441830790306
6,hHBB_10383581_START_reference_hHBB,PSU,4.0,1,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample8.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,78.76554675327887,496.95488305053743,516.2719420575415,1521.5227012047526
7,hHBB_10383581_START_reference_hHBB,PSU,5.0,1,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample9.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,71.71109279255194,353.5820329816692,399.7912225904741,1259.401902856195
8,hHBB_10383581_START_reference_hHBB,PSU,18.0,1,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample10.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,73.39185061683645,61.00691719696529,58.85007112253476,548.5564108575776
9,hHBB_10383581_START_reference_hHBB,PSU,24.0,1,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample11.csv,[ 23.77029983 879.71161646],779.7116164596414,979.7116164596414,75.21842770033284,32.10322119600779,28.660005591953404,442.415244167463
10,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.0,2,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample2.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,352.921061425492,1790.6266896070604,255.56273353745226,1939.9914037599183
11,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.5,2,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample3.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,370.65972811244217,1947.7160185466525,288.1325593151165,2340.462419431946
12,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.0,2,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample4.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,373.46115256047835,1397.7483666996343,300.43426015552666,1797.095126313893
13,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.5,2,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample5.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,382.22366338594463,1498.9548415757836,327.70125015518465,2056.9966459897964
14,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,2.0,2,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample6.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,399.4687931471294,1260.7552833659547,287.0484639768463,1905.927965101731
15,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3.0,2,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample7.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,378.17783889051265,1212.378201114053,343.68820448993677,2163.8721673722043
16,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,4.0,2,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample8.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,379.90786231707,651.4703486268825,203.09748990798897,1284.129796751059
17,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5.0,2,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample9.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,392.8794116025759,925.1052368798688,332.5835650358732,1997.6633865881342
18,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,18.0,2,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample10.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,384.12613014820937,179.72916494808499,148.00535663830598,1217.1842906182544
19,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,24.0,2,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample11.csv,[ 25.         844.32245225],744.3224522531091,944.3224522531091,390.15701051264625,94.86876786670229,94.32413518455216,1162.6746913580416
20,hHBB_10383653_GC_rich_2_hHBB,PSU,0.0,3,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample2.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,270.763315105614,3101.7821292075123,525.9833228800098,3362.1283950107054
21,hHBB_10383653_GC_rich_2_hHBB,PSU,0.5,3,3,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample3.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,261.66343941758026,1888.886210015978,459.1915592326998,2252.632280824749
22,hHBB_10383653_GC_rich_2_hHBB,PSU,1.0,3,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample4.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,265.60571120323044,1576.0429859044539,536.5178961612734,2146.517260844327
23,hHBB_10383653_GC_rich_2_hHBB,PSU,1.5,3,5,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample5.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,257.13070365871425,1240.4648063818572,520.6426563004401,1960.4667516267866
24,hHBB_10383653_GC_rich_2_hHBB,PSU,2.0,3,6,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample6.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,247.2469673655921,1224.9580604021965,559.413034099243,2148.2619991429933
25,hHBB_10383653_GC_rich_2_hHBB,PSU,3.0,3,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample7.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,227.88864306063812,775.3336330440578,479.3302979186049,1699.785151484132
26,hHBB_10383653_GC_rich_2_hHBB,PSU,4.0,3,8,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample8.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,221.83661138582065,741.8397416480061,503.18867814655175,1914.612461021197
27,hHBB_10383653_GC_rich_2_hHBB,PSU,5.0,3,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample9.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,212.2697040789632,507.70208075775076,386.3221456733275,1503.7177077535475
28,hHBB_10383653_GC_rich_2_hHBB,PSU,18.0,3,10,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample10.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,212.66497219856484,44.730931297468715,50.352060421610695,572.8294119227569
29,hHBB_10383653_GC_rich_2_hHBB,PSU,24.0,3,11,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample11.csv,[ 25.         843.22618787],743.2261878655518,943.2261878655518,215.03205969385814,38.153374672316374,39.09010538630547,514.7771002556466
30,hHBB_10383651_GC_rich_1_hHBB,PSU,0.0,4,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample2.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,328.5007245073502,3406.4091911251576,643.5404100725714,3629.192777111524
31,hHBB_10383651_GC_rich_1_hHBB,PSU,0.5,4,3,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample3.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,343.8084333957268,3477.806754507853,817.3559127954678,4259.613934219409
32,hHBB_10383651_GC_rich_1_hHBB,PSU,1.0,4,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample4.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,344.8613623584957,2173.973712667423,829.2617203397217,3084.231927969683
33,hHBB_10383651_GC_rich_1_hHBB,PSU,1.5,4,5,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample5.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,335.6051396646144,1729.3997370632064,694.8485041146143,2743.2532170752393
34,hHBB_10383651_GC_rich_1_hHBB,PSU,2.0,4,6,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample6.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,351.40504371434304,1726.9435628013753,746.8131127230944,3127.979779373305
35,hHBB_10383651_GC_rich_1_hHBB,PSU,3.0,4,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample7.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,343.7045727636927,988.9833905635925,624.3848045534673,2257.014631156269
36,hHBB_10383651_GC_rich_1_hHBB,PSU,4.0,4,8,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample8.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,352.62728892658686,915.5970653093399,631.0571884731072,2540.389659961353
37,hHBB_10383651_GC_rich_1_hHBB,PSU,5.0,4,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample9.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,373.4100059156077,864.2956580880091,609.5520813263872,2722.896470172068
38,hHBB_10383651_GC_rich_1_hHBB,PSU,18.0,4,10,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample10.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,356.4680421127767,83.43887721924644,103.17098372196926,1099.8223649911622
39,hHBB_10383651_GC_rich_1_hHBB,PSU,24.0,4,11,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample11.csv,[ 25.         838.24889924],738.2488992428263,938.2488992428263,366.4230384119025,58.44181442582583,55.91883726167627,870.8875418280816
