,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
0,0,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,0.0,1,2,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1388817  -0.1319504  -0.1332092  ...  0.06297684  0.0431633
  0.03974152]","[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 244 409],[ 7.82017425 11.40159519  6.86455014],[110 244 409],[ 7.82017425 11.40159519  6.86455014],[ 22.61046729 238.26744583 938.50270249],[187.51131604  43.3331351  135.77328   ],[37.60720672 16.2070776  55.293364  ],[149.90410932  27.1260575   80.479916  ],449.1243069099997,2.9668858439896777,1.0
1,1,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,0.5,1,3,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08195716 -0.08586559 -0.08966523 ... -0.02817917 -0.02817917
 -0.02817917]","[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 244 410 887],[ 7.79502103 10.65377439  7.87834745  4.5217873 ],[110 244 410],[ 7.79502103 10.65377439  7.87834745],[ 22.61046729 238.26744583 944.9781297 ],[187.03421009  42.8297735  128.463955  ],[38.42310232 12.5670556  55.5926    ],[148.61110777  30.2627179   72.871355  ],461.36142521300025,2.4079580439799155,0.8116112889405438
2,2,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,1.0,1,4,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03674329 -0.04233894 -0.04917241 ... -0.00760269 -0.00760269
 -0.00760269]","[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 243 409],[ 7.88478996 10.95113786  8.10167404],[110 243 409],[ 7.88478996 10.95113786  8.10167404],[ 22.61046729 235.93299301 938.50270249],[193.0427688  53.2998529 105.492273 ],[33.1794464 17.1558266 52.697205 ],[159.8633224  36.1440263  52.795068 ],493.23905710519983,1.4606858561299791,0.4923296456077132
3,3,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,1.5,1,5,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04050628 0.03957998 0.0152639  ... 0.08318329 0.08318329 0.08318329],"[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 243 409],[ 7.90249714 11.19327139  8.85603514],[110 243 409],[ 7.90249714 11.19327139  8.85603514],[ 22.61046729 235.93299301 938.50270249],[188.90275457  59.6717147   93.492709  ],[31.89491504 21.8738124  52.488279  ],[157.00783953  37.7979023   41.00443   ],542.5134876999996,1.0848334829417237,0.3656471937197655
4,4,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,2.0,1,6,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1365002 -0.1042651 -0.1103314 ... -0.1445045 -0.1445045 -0.1445045],"[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 244 410],[ 7.98247432 11.15974575  9.95386926],[110 244 410],[ 7.98247432 11.15974575  9.95386926],[ 22.61046729 238.26744583 944.9781297 ],[189.005206   60.3621945  68.898684 ],[40.1304704 18.0855384 41.22973  ],[148.8747356  42.2766561  27.668954 ],488.1497699900004,0.6544735689254291,0.22059277078397294
5,5,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,3.0,1,7,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.07532039 0.06969804 0.06753869 ... 0.01983261 0.01983261 0.01983261],"[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 244 411],[ 7.93149631 13.00943252  7.4997611 ],[110 244 411],[ 7.93149631 13.00943252  7.4997611 ],[ 22.61046729 238.26744583 951.48271377],[181.39559747  68.0282547   36.752131  ],[40.89136512 26.70395    23.012616  ],[140.50423235  41.3243047   13.739515  ],521.74546451,0.3324802461830653,0.11206371382862754
6,6,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,4.0,1,8,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1155321 0.1146742 0.1364441 ... 0.1322441 0.1322441 0.1322441],"[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 243 411],[ 8.01827593 13.35673389  7.41033152],[110 243 411],[ 8.01827593 13.35673389  7.41033152],[ 22.61046729 235.93299301 951.48271377],[192.46366133  78.1089093   28.033741  ],[25.53300387 33.4570334  19.988104  ],[166.93065746  44.6518759    8.045637  ],537.3818642999996,0.18018586762219316,0.060732322407083504
7,7,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,5.0,1,9,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00311661 0.00648117 0.00344849 ... 0.2643738  0.2493515  0.2444954 ],"[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 243],[ 7.95989696 14.19886518],[110 243 411],[ 8.01827593 13.35673389  7.41033152],[ 22.61046729 235.93299301 951.48271377],[189.04747381  79.2823621   18.3532986 ],[27.49568787 36.6683394  14.1643064 ],[161.55178594  42.6140227    4.1889922 ],530.8653424100002,0.09830079242906103,0.03313265073147285
8,8,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,18.0,1,10,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.00694656  0.00694656  0.00694656 ... -0.1391716  -0.1427469
 -0.1232292 ]","[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 243],[ 7.89361853 15.77924291],[110 243 411],[ 8.01827593 13.35673389  7.41033152],[ 22.61046729 235.93299301 951.48271377],[ 1.81922267e+02  8.50181490e+01 -5.30269894e-02],[26.2584162  46.86451    -0.78104184],[155.66385043  38.153639     0.72801485],440.38620594660006,0.019081137990533487,0.00643136911694398
9,9,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,24.0,1,11,nts-Eukaryote Total RNA Nano_2020-10-07_13-56-03_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01675034 -0.01675034 -0.01675034 ...  0.1974449   0.1840416
  0.202703  ]","[-216.68402034 -213.22461026 -209.79866991 ... 6764.7471501  6761.48886138
 6758.12293112]",[110 244],[ 7.95069525 15.84189505],[110 243 411],[ 8.01827593 13.35673389  7.41033152],[ 22.61046729 235.93299301 951.48271377],[187.57861413 111.439984     3.9979187 ],[30.0393585 64.539776   3.5817376],[157.53925563  46.900208     0.4161811 ],555.2767423999998,0.008873758086531304,0.00299093344103811
