Time,Value,Timepoint
17,8.80E-04,0
17.05,0.0172293,0
17.1,0.0383606,0
17.15,0.0356048,0
17.2,2.53E-02,0
17.25,6.81E-03,0
17.3,3.67E-03,0
17.35,9.30E-03,0
17.4,2.56E-02,0
17.45,0.0381058,0
17.5,4.76E-02,0
17.55,3.38E-02,0
17.6,8.78E-03,0
17.65,-1.65E-02,0
17.7,-9.00E-03,0
17.75,0.0355138,0
17.8,5.45E-02,0
17.85,6.03E-02,0
17.9,0.0454256,0
17.95,9.14E-03,0
18,-2.18E-02,0
18.05,-3.53E-02,0
18.1,-1.41E-02,0
18.15,-2.00E-02,0
18.2,-2.92E-02,0
18.25,-2.59E-02,0
18.3,-2.92E-02,0
18.35,-2.97E-02,0
18.4,-0.0270292,0
18.45,-0.0173795,0
18.5,-8.09E-03,0
18.55,-5.59E-03,0
18.6,-7.66E-03,0
18.65,-7.44E-03,0
18.7,-0.0208762,0
18.75,-0.0531237,0
18.8,-2.16E-02,0
18.85,4.00E-02,0
18.9,7.07E-02,0
18.95,0.07828,0
19,4.86E-02,0
19.05,-4.83E-03,0
19.1,-4.66E-02,0
19.15,-5.55E-02,0
19.2,-3.96E-02,0
19.25,-2.33E-02,0
19.3,-1.97E-02,0
19.35,-1.75E-02,0
19.4,-1.87E-02,0
19.45,-1.77E-02,0
19.5,-1.69E-02,0
19.55,-0.0260402,0
19.6,-3.35E-02,0
19.65,-3.43E-02,0
19.7,-4.58E-02,0
19.75,-4.09E-02,0
19.8,-4.65E-02,0
19.85,-5.06E-02,0
19.9,-5.52E-02,0
19.95,-5.98E-02,0
20,-0.0542106,0
20.05,-4.97E-02,0
20.1,-6.50E-02,0
20.15,-6.33E-02,0
20.2,-7.92E-02,0
20.25,-9.61E-02,0
20.3,-9.55E-02,0
20.35,-9.64E-02,0
20.4,-8.83E-02,0
20.45,-6.52E-02,0
20.5,-3.88E-02,0
20.55,-3.23E-02,0
20.6,-5.02E-02,0
20.65,-0.0484698,0
20.7,-4.08E-02,0
20.75,-4.57E-02,0
20.8,-2.19E-02,0
20.85,-1.68E-02,0
20.9,-2.19E-02,0
20.95,-4.43E-02,0
21,-4.95E-02,0
21.05,-0.0443164,0
21.1,-3.55E-02,0
21.15,-4.07E-03,0
21.2,2.09E-02,0
21.25,2.83E-02,0
21.3,7.98E-03,0
21.35,-2.76E-02,0
21.4,-8.32E-02,0
21.45,-0.0169328,0
21.5,0.1055734,0
21.55,0.1975548,0
21.6,0.2166557,0
21.65,0.1465019,0
21.7,4.26E-02,0
21.75,-3.18E-02,0
21.8,-2.63E-02,0
21.85,5.07E-02,0
21.9,7.35E-02,0
21.95,7.80E-02,0
22,7.31E-02,0
22.05,6.75E-02,0
22.1,2.48E-02,0
22.15,-0.0109054,0
22.2,0.3085469,0
22.25,1.673295,0
22.3,4.739948,0
22.35,9.38012,0
22.4,14.55721,0
22.45,18.74554,0
22.5,20.67078,0
22.55,19.95211,0
22.6,17.43593,0
22.65,14.08592,0
22.7,10.75896,0
22.75,7.779102,0
22.8,5.308654,0
22.85,3.386982,0
22.9,2.02491,0
22.95,1.1596,0
23,0.6402982,0
23.05,0.3721087,0
23.1,0.2586075,0
23.15,0.2129614,0
23.2,0.2161,0
23.25,0.2379273,0
23.3,0.2213106,0
23.35,0.1981316,0
23.4,0.1583443,0
23.45,0.1349121,0
23.5,0.1191353,0
23.55,0.1055605,0
23.6,8.37E-02,0
23.65,6.90E-02,0
23.7,5.55E-02,0
23.75,5.63E-02,0
23.8,6.37E-02,0
23.85,7.13E-02,0
23.9,4.92E-02,0
23.95,2.02E-02,0
24,1.10E-02,0
24.05,2.79E-02,0
24.1,6.27E-02,0
24.15,9.18E-02,0
24.2,0.1054846,0
24.25,8.64E-02,0
24.3,6.51E-02,0
24.35,6.28E-02,0
24.4,6.70E-02,0
24.45,9.56E-02,0
24.5,0.1263958,0
24.55,0.1466253,0
24.6,0.1700899,0
24.65,0.1712019,0
24.7,0.1525351,0
24.75,0.1253796,0
24.8,0.1229365,0
24.85,0.1501453,0
24.9,0.1864344,0
24.95,0.2254165,0
25,0.2388547,0
25.05,0.2343426,0
25.1,0.2187862,0
25.15,0.1900854,0
25.2,0.1773186,0
25.25,0.1322733,0
25.3,0.1058263,0
25.35,9.25E-02,0
25.4,0.102178,0
25.45,0.1314192,0
25.5,0.1738752,0
25.55,0.1996453,0
25.6,0.1903988,0
25.65,0.1587734,0
25.7,0.1317009,0
25.75,0.1035984,0
25.8,0.1081627,0
25.85,0.1249957,0
25.9,0.1274787,0
25.95,0.1158739,0
26,9.15E-02,0
26.05,8.85E-02,0
26.1,7.75E-02,0
26.15,7.20E-02,0
26.2,7.44E-02,0
26.25,8.06E-02,0
