Time,Value,Timepoint
17,6.15E-02,0
17.05,6.15E-02,0
17.1,6.15E-02,0
17.15,6.15E-02,0
17.2,4.66E-02,0
17.25,2.40E-02,0
17.3,7.94E-03,0
17.35,-2.03E-02,0
17.4,-4.47E-02,0
17.45,-3.66E-02,0
17.5,-3.21E-02,0
17.55,-2.59E-03,0
17.6,1.62E-02,0
17.65,3.37E-02,0
17.7,3.58E-02,0
17.75,1.46E-02,0
17.8,9.31E-03,0
17.85,1.37E-02,0
17.9,9.47E-03,0
17.95,2.59E-02,0
18,3.94E-02,0
18.05,4.71E-02,0
18.1,2.26E-02,0
18.15,-1.21E-03,0
18.2,-5.27E-03,0
18.25,-0.0128849,0
18.3,-2.44E-02,0
18.35,-1.99E-02,0
18.4,-2.72E-02,0
18.45,-4.21E-02,0
18.5,-4.21E-02,0
18.55,-1.51E-02,0
18.6,8.29E-03,0
18.65,1.08E-02,0
18.7,5.60E-03,0
18.75,-1.93E-03,0
18.8,-7.23E-03,0
18.85,-2.22E-03,0
18.9,1.19E-02,0
18.95,2.35E-02,0
19,6.91E-03,0
19.05,-8.20E-03,0
19.1,-1.67E-02,0
19.15,-2.87E-02,0
19.2,-3.61E-02,0
19.25,-3.04E-02,0
19.3,-1.12E-02,0
19.35,1.74E-02,0
19.4,4.33E-02,0
19.45,3.82E-02,0
19.5,1.19E-02,0
19.55,-4.13E-03,0
19.6,-1.11E-02,0
19.65,-7.08E-03,0
19.7,6.25E-03,0
19.75,1.18E-02,0
19.8,1.59E-02,0
19.85,1.18E-02,0
19.9,3.42E-03,0
19.95,5.06E-03,0
20,1.22E-03,0
20.05,5.60E-03,0
20.1,0.0123418,0
20.15,9.83E-03,0
20.2,4.10E-02,0
20.25,9.70E-02,0
20.3,0.1296426,0
20.35,0.1444671,0
20.4,0.1346062,0
20.45,9.63E-02,0
20.5,4.50E-02,0
20.55,1.61E-03,0
20.6,-3.99E-03,0
20.65,1.16E-02,0
20.7,7.72E-03,0
20.75,6.97E-03,0
20.8,3.80E-02,0
20.85,7.86E-02,0
20.9,0.1143579,0
20.95,0.1203227,0
21,0.1123093,0
21.05,9.27E-02,0
21.1,6.69E-02,0
21.15,4.99E-02,0
21.2,3.87E-02,0
21.25,1.62E-02,0
21.3,9.27E-03,0
21.35,1.01E-02,0
21.4,2.51E-02,0
21.45,5.71E-02,0
21.5,7.76E-02,0
21.55,7.31E-02,0
21.6,6.07E-02,0
21.65,3.86E-02,0
21.7,0.0187704,0
21.75,1.20E-02,0
21.8,1.90E-02,0
21.85,3.86E-02,0
21.9,4.34E-02,0
21.95,6.35E-02,0
22,0.095622,0
22.05,9.75E-02,0
22.1,3.58E-02,0
22.15,-2.59E-02,0
22.2,0.3082244,0
22.25,1.75883,0
22.3,4.790836,0
22.35,9.002892,0
22.4,13.51681,0
22.45,17.00037,0
22.5,18.55161,0
22.55,17.87717,0
22.6,15.61911,0
22.65,12.70636,0
22.7,9.81428,0
22.75,7.267686,0
22.8,5.250236,0
22.85,3.610337,0
22.9,2.378515,0
22.95,1.475141,0
23,0.8682961,0
23.05,0.5003806,0
23.1,0.2967371,0
23.15,0.1842514,0
23.2,0.1335247,0
23.25,0.1021153,0
23.3,9.22E-02,0
23.35,9.55E-02,0
23.4,0.1048399,0
23.45,0.1216147,0
23.5,0.1214729,0
23.55,0.1166941,0
23.6,0.1157539,0
23.65,0.1204784,0
23.7,0.1161858,0
23.75,0.1208078,0
23.8,0.1277844,0
23.85,0.1283735,0
23.9,0.1327422,0
23.95,0.1413402,0
24,0.1537157,0
24.05,0.1785913,0
24.1,0.1970063,0
24.15,0.1961021,0
24.2,0.1787331,0
24.25,0.1688791,0
24.3,0.1503198,0
24.35,0.1364178,0
24.4,0.1425875,0
24.45,0.1655568,0
24.5,0.1689762,0
24.55,0.161484,0
24.6,0.1438705,0
24.65,0.12252,0
24.7,0.1100013,0
24.75,0.1108087,0
24.8,0.1159035,0
24.85,0.1179634,0
24.9,0.1052936,0
24.95,9.38E-02,0
25,7.60E-02,0
25.05,6.65E-02,0
25.1,6.84E-02,0
25.15,5.01E-02,0
25.2,3.75E-02,0
25.25,4.44E-02,0
25.3,5.43E-02,0
25.35,7.47E-02,0
25.4,8.50E-02,0
25.45,7.87E-02,0
25.5,8.81E-02,0
25.55,9.97E-02,0
25.6,0.1189708,0
25.65,0.1462249,0
25.7,0.1411809,0
25.75,0.1152627,0
25.8,8.50E-02,0
25.85,0.0722715,0
25.9,8.80E-02,0
25.95,0.1070997,0
26,0.1255516,0
26.05,0.1580886,0
26.1,0.1724308,0
26.15,0.2000764,0
26.2,0.2149762,0
26.25,0.2161141,0
26.3,0.2185979,0
26.35,0.2221471,0
26.4,0.2277229,0
26.45,0.2413119,0
26.5,0.2449085,0
26.55,0.2483345,0
26.6,0.2346897,0
26.65,0.2138235,0
26.7,0.212707,0
26.75,0.1945267,0
26.8,0.1935199,0
26.85,0.2086042,0
26.9,0.2282835,0
26.95,0.2362556,0
27,0.2463731,0
27.05,0.2627144,0
27.1,0.2790418,0
27.15,0.2931345,0
27.2,0.2957344,0
27.25,0.2649885,0
27.3,0.2344652,0
27.35,0.2132446,0
27.4,0.2234501,0
27.45,0.2428535,0
27.5,0.2620186,0
27.55,0.2777209,0
27.6,0.2734442,0
27.65,0.3036586,0
27.7,0.3502697,0
27.75,0.3869309,0
27.8,0.3981425,0
27.85,0.4040131,0
27.9,0.4100734,0
27.95,0.4195631,0
28,0.4323694,0
28.05,0.4475891,0
28.1,0.4185041,0
28.15,0.3603099,0
28.2,0.3280681,0
28.25,0.3207884,0
28.3,0.3298397,0
28.35,0.3752872,0
28.4,0.4213983,0
28.45,0.4744686,0
28.5,0.5104296,0
28.55,0.5421655,0
28.6,0.5796472,0
28.65,0.6168675,0
28.7,0.6908385,0
28.75,0.8625856,0
28.8,1.207338,0
28.85,1.781762,0
28.9,2.555618,0
28.95,3.440465,0
29,4.351079,0
29.05,5.233737,0
29.1,5.982834,0
29.15,6.520159,0
29.2,6.827037,0
29.25,6.845206,0
29.3,6.598114,0
29.35,6.138947,0
29.4,5.560709,0
29.45,4.927067,0
29.5,4.294999,0
29.55,3.726498,0
29.6,3.261131,0
29.65,2.90737,0
29.7,2.642535,0
29.75,2.443639,0
29.8,2.262491,0
29.85,2.091976,0
29.9,1.93418,0
29.95,1.789528,0
30,1.661481,0
30.05,1.553256,0
30.1,1.434319,0
30.15,1.347996,0
30.2,1.300782,0
30.25,1.278445,0
30.3,1.278325,0
30.35,1.270764,0
30.4,1.217536,0
30.45,1.114371,0
30.5,0.9983073,0
30.55,0.9013414,0
30.6,0.840517,0
30.65,0.7933698,0
30.7,0.7515394,0
30.75,0.7006599,0
30.8,0.6366634,0
30.85,0.5774176,0
30.9,0.5174022,0
30.95,0.4724189,0
31,0.4559893,0
31.05,0.4379207,0
31.1,0.4131315,0
31.15,0.3962043,0
31.2,0.3871618,0
31.25,0.3900106,0
31.3,0.3925699,0
31.35,0.4096418,0
31.4,0.4432746,0
31.45,0.4617631,0
31.5,0.4661084,0
31.55,0.4442643,0
31.6,0.421821,0
31.65,0.3980703,0
31.7,0.37357,0
31.75,0.371802,0
31.8,0.3891859,0
31.85,0.3962056,0
31.9,0.3918643,0
31.95,0.3951577,0
32,0.4168489,0
32.05,0.4226958,0
32.1,0.4183822,0
32.15,0.413427,0
32.2,0.3941519,0
32.25,0.367786,0
32.3,0.3587541,0
32.35,0.3411784,0
32.4,0.3318572,0
32.45,0.3192026,0
32.5,0.3163784,0
32.55,0.3370725,0
32.6,0.3636108,0
32.65,0.3993017,0
32.7,0.4313192,0
32.75,0.4384017,0
32.8,0.4358715,0
32.85,0.419745,0
32.9,0.4126667,0
32.95,0.4367531,0
33,0.4720319,0
33.05,0.512656,0
33.1,0.5622712,0
33.15,0.6020952,0
33.2,0.6131732,0
33.25,0.608837,0
33.3,0.5950946,0
33.35,0.5731542,0
33.4,0.567813,0
33.45,0.5996978,0
33.5,0.6639012,0
33.55,0.7417889,0
33.6,0.8062075,0
33.65,0.8582218,0
33.7,0.8538305,0
33.75,0.8163528,0
33.8,0.8147913,0
33.85,0.8329124,0
33.9,0.8588873,0
33.95,0.8754015,0
34,0.8866068,0
34.05,0.8488633,0
34.1,0.8031207,0
34.15,0.784066,0
34.2,0.7719209,0
34.25,0.7581128,0
34.3,0.7500924,0
34.35,0.7761607,0
34.4,0.8407609,0
34.45,0.8971873,0
34.5,0.9732623,0
34.55,1.027788,0
34.6,1.033196,0
34.65,1.00625,0
34.7,0.9476407,0
34.75,0.9066967,0
34.8,0.8730521,0
34.85,0.8556818,0
34.9,0.8716636,0
34.95,0.9016642,0
35,0.9210827,0
35.05,0.9071034,0
35.1,0.875201,0
35.15,0.8529775,0
35.2,0.8363667,0
35.25,0.8152037,0
35.3,0.7926626,0
35.35,0.7666732,0
35.4,0.7437273,0
35.45,0.7030535,0
35.5,0.6742237,0
35.55,0.6629202,0
35.6,0.6622374,0
35.65,0.6366179,0
35.7,0.6157968,0
35.75,0.6212486,0
35.8,0.6262244,0
35.85,0.6497663,0
35.9,0.6842068,0
35.95,0.709593,0
36,0.7217438,0
36.05,0.6991796,0
36.1,0.6569855,0
36.15,0.6157052,0
36.2,0.5839948,0
36.25,0.5811869,0
36.3,0.5871538,0
36.35,0.5935308,0
36.4,0.6020963,0
36.45,0.6081248,0
36.5,0.6210858,0
36.55,0.646482,0
36.6,0.6808112,0
36.65,0.7226852,0
36.7,0.7721928,0
36.75,0.8205512,0
36.8,0.8724476,0
36.85,0.943756,0
36.9,1.047395,0
36.95,1.21255,0
37,1.513023,0
37.05,2.062661,0
37.1,2.92005,0
37.15,3.943527,0
37.2,4.846236,0
37.25,5.408806,0
37.3,5.53303,0
37.35,5.312113,0
37.4,4.904423,0
37.45,4.525071,0
37.5,4.249339,0
37.55,4.075819,0
37.6,3.975759,0
37.65,3.914421,0
37.7,3.926238,0
37.75,3.993635,0
37.8,3.993309,0
37.85,3.962589,0
37.9,3.840202,0
37.95,3.656369,0
38,3.423099,0
38.05,3.155683,0
38.1,2.923604,0
38.15,2.686444,0
38.2,2.44976,0
38.25,2.240291,0
38.3,2.031639,0
38.35,1.842751,0
38.4,1.672906,0
38.45,1.523486,0
38.5,1.38242,0
38.55,1.267724,0
38.6,1.164361,0
38.65,1.070082,0
38.7,0.9813218,0
38.75,0.9145764,0
38.8,0.8779901,0
38.85,0.8435549,0
38.9,0.8276902,0
38.95,0.8079262,0
39,0.7795542,0
39.05,0.7472328,0
39.1,0.6920682,0
39.15,0.6843237,0
39.2,0.6787032,0
39.25,0.6600497,0
39.3,0.69567,0
39.35,0.7109223,0
39.4,0.7244959,0
39.45,0.7614651,0
39.5,0.7851143,0
39.55,0.8006064,0
39.6,0.7969263,0
39.65,0.7733319,0
39.7,0.7604403,0
39.75,0.6976382,0
39.8,0.6837874,0
39.85,0.6892204,0
39.9,0.6668819,0
39.95,0.6521119,0
40,0.6652604,0
