,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area,double_normalized
0,RNA-1,natural,0.0,1,1,Eukaryote Total RNA Nano_2020-10-21_16-07-11_1_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,621.6637264357175,1923.2847133605549,3789.719623689721,1866.4349103291663,3.0023223665152403,0.02168986382629983
1,RNA-1,natural,0.5,1,2,Eukaryote Total RNA Nano_2020-10-21_16-07-11_2_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,353.31182038090043,1014.8025995116366,1735.8974566390764,721.0948571274398,2.0409587665367033,0.01440834326699162
2,RNA-1,natural,1.0,1,3,Eukaryote Total RNA Nano_2020-10-21_16-07-11_3_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,332.86618415184955,788.545940537128,1164.3311581501653,375.7852176130373,1.1289377999466854,0.0076145235282483
3,RNA-1,natural,1.5,1,4,Eukaryote Total RNA Nano_2020-10-21_16-07-11_4_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,323.11125602264116,519.3469212862057,750.4471299610096,231.10020867480398,0.7152341627448914,0.004893674876829695
4,RNA-1,natural,2.0,1,5,Eukaryote Total RNA Nano_2020-10-21_16-07-11_5_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,329.9179922453931,543.1689569188724,719.2305550444054,176.061598125533,0.5336526114482969,0.0036679194997100623
5,RNA-1,natural,3.0,1,6,Eukaryote Total RNA Nano_2020-10-21_16-07-11_6_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,390.6475979338982,345.48308164912316,388.0779863833025,42.59490473417935,0.1090366482718956,0.0007255732531043536
6,RNA-1,natural,4.0,1,7,Eukaryote Total RNA Nano_2020-10-21_16-07-11_7_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,318.25714167719445,299.2044839256653,320.2926722539028,21.08818832823755,0.06626147717252838,0.000469268134239163
7,RNA-1,natural,5.0,1,8,Eukaryote Total RNA Nano_2020-10-21_16-07-11_8_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,391.68538606536157,264.3273655774263,270.2306600216059,5.903294444179608,0.015071520802653867,0.00010242353389267103
8,RNA-1,natural,18.0,1,9,Eukaryote Total RNA Nano_2020-10-21_16-07-11_9_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,477.73989789380187,24.281223422838206,21.421231095299596,-2.8599923275386097,-0.00598650508393244,-4.127276203580564e-05
9,RNA-1,natural,24.0,1,10,Eukaryote Total RNA Nano_2020-10-21_16-07-11_10_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.353720533342,1023.353720533342,685.9711295784304,25.93276631819678,30.840727554910046,4.907961236713266,0.007154763553576223,5.046811232023072e-05
10,RNA-1,5mC,0.0,1,11,Eukaryote Total RNA Nano_2020-10-21_16-07-11_11_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,150.5006239988014,253.1161163649063,1260.3717424518634,1007.2556260869571,6.692700663453588,0.04519644514560386
11,RNA-1,5mC,0.5,1,12,Eukaryote Total RNA Nano_2020-10-21_16-07-11_12_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,165.68380810620465,329.1675601002331,976.5981574202128,647.4305973199797,3.9076274544883196,0.026351229375261305
12,RNA-1,5mC,1.0,2,1,Eukaryote Total RNA Nano_2020-10-21_16-14-00_1_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,157.30366144040426,407.5363713874955,746.9884042896678,339.4520329021723,2.1579410790178994,0.013762093234101802
13,RNA-1,5mC,1.5,2,2,Eukaryote Total RNA Nano_2020-10-21_16-14-00_2_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,164.58752160945053,392.1599722284789,647.2300609285256,255.0700887000467,1.5497535062548795,0.009497544479255772
14,RNA-1,5mC,2.0,2,3,Eukaryote Total RNA Nano_2020-10-21_16-14-00_3_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,206.38622604674342,406.89632005142283,641.7456600471028,234.84933999567994,1.1379118873102028,0.007179137456361146
15,RNA-1,5mC,3.0,2,4,Eukaryote Total RNA Nano_2020-10-21_16-14-00_4_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,243.70828703537845,415.90743264698904,549.1413848983935,133.2339522514045,0.5466943856203925,0.0033918301821314724
16,RNA-1,5mC,4.0,2,5,Eukaryote Total RNA Nano_2020-10-21_16-14-00_5_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,261.64582926747454,348.938355457753,427.8336970384805,78.89534158072752,0.30153487178301097,0.0018543144824500382
17,RNA-1,5mC,5.0,2,6,Eukaryote Total RNA Nano_2020-10-21_16-14-00_6_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,288.56896270125867,306.72021314833654,346.52212110029905,39.801907951962505,0.13792858240672082,0.0008417096409360615
18,RNA-1,5mC,18.0,2,7,Eukaryote Total RNA Nano_2020-10-21_16-14-00_7_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,374.36513769363637,57.19190896078306,41.16138303020588,-16.030525930577177,-0.042820562911752326,-0.0002744311915526597
19,RNA-1,5mC,24.0,2,8,Eukaryote Total RNA Nano_2020-10-21_16-14-00_8_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585038981079,994.1585038981079,356.97242725612995,21.713699989075007,20.235537490839285,-1.4781624982357222,-0.0041408310148703205,-2.5995550228639226e-05
20,RNA-1,PSU,0.0,6,11,Eukaryote Total RNA Nano_2020-10-21_17-06-53_11_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,146.5740400781759,176.323537380258,2475.063942565303,2298.740405185045,15.683134639387724,0.20965195490148963
21,RNA-1,PSU,0.5,6,12,Eukaryote Total RNA Nano_2020-10-21_17-06-53_12_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,203.76899468026778,293.48727746784675,2421.6665665188725,2128.179289051026,10.444078071790727,0.13999586100150915
22,RNA-1,PSU,1.0,7,1,Eukaryote Total RNA Nano_2020-10-21_17-37-08_1_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,189.50521463409305,363.8051662667145,2022.473193856846,1658.6680275901315,8.75262472746609,0.0772755869512314
23,RNA-1,PSU,1.5,7,2,Eukaryote Total RNA Nano_2020-10-21_17-37-08_2_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,206.3080092937722,341.3726203964278,1783.9701129271593,1442.5974925307314,6.992445409506838,0.06289123634494397
24,RNA-1,PSU,2.0,7,3,Eukaryote Total RNA Nano_2020-10-21_17-37-08_3_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,210.8833634255441,392.31751646742435,1595.0019194301399,1202.6844029627155,5.703078628046177,0.04785740768302676
25,RNA-1,PSU,3.0,7,4,Eukaryote Total RNA Nano_2020-10-21_17-37-08_4_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,278.44338187807296,446.67448656100987,1502.4938734490493,1055.8193868880394,3.7918638244035194,0.031684565378111866
26,RNA-1,PSU,4.0,7,5,Eukaryote Total RNA Nano_2020-10-21_17-37-08_5_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,309.2502564474428,424.2242930811895,1183.8874822335808,759.6631891523914,2.4564674509218927,0.0197307723461187
27,RNA-1,PSU,5.0,7,6,Eukaryote Total RNA Nano_2020-10-21_17-37-08_6_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,336.58592213870253,397.52661411344934,1013.9969126594415,616.4702985459921,1.8315391642908732,0.014955700117992307
28,RNA-1,PSU,18.0,7,7,Eukaryote Total RNA Nano_2020-10-21_17-37-08_7_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,497.370170492532,122.75579825473554,133.1345740900207,10.378775835285154,0.02086730658778217,0.0001690997076744955
29,RNA-1,PSU,24.0,7,8,Eukaryote Total RNA Nano_2020-10-21_17-37-08_8_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788941656372,954.6788941656372,473.7089573934281,43.4083850250761,43.67180560922155,0.2634205841454502,0.0005560810705267545,4.675871882042478e-06
30,RNA-2,5mC,0.0,9,6,Eukaryote Total RNA Nano_2020-10-22_10-58-16_6_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,120.72153561985266,188.69406873863397,526.892245059149,338.198176320515,2.8014734453468826,0.02639976622536922
31,RNA-2,5mC,0.5,2,9,Eukaryote Total RNA Nano_2020-10-21_16-14-00_9_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,113.75894144045024,216.19035388637897,790.8061188170027,574.6157649306238,5.051170111594434,0.031007970064754566
32,RNA-2,5mC,1.0,2,11,Eukaryote Total RNA Nano_2020-10-21_16-14-00_11_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,149.45023009829444,333.5220638060482,829.5947927215452,496.072728915497,3.319317264277389,0.020709735157733132
33,RNA-2,5mC,1.5,2,12,Eukaryote Total RNA Nano_2020-10-21_16-14-00_12_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,123.30173838474091,312.45768751431075,678.5488117555093,366.09112424119854,2.9690670142774223,0.018882233599064904
34,RNA-2,5mC,2.0,3,1,Eukaryote Total RNA Nano_2020-10-21_16-34-50_1_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,145.56110671672363,378.3278470603011,722.40412308145,344.07627602114894,2.3637926626290056,0.014225645824621644
35,RNA-2,5mC,3.0,3,2,Eukaryote Total RNA Nano_2020-10-21_16-34-50_2_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,191.04589879503973,438.68593100003676,743.0937221632078,304.407791163171,1.5933751683921233,0.009247698294741619
36,RNA-2,5mC,4.0,3,3,Eukaryote Total RNA Nano_2020-10-21_16-34-50_3_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,201.0038865704921,502.90623190040344,756.3782718412795,253.47203994087602,1.2610305415760372,0.007365155176387716
37,RNA-2,5mC,5.0,3,4,Eukaryote Total RNA Nano_2020-10-21_16-34-50_4_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,169.2522393585859,470.2055662919308,679.1122770153254,208.9067107233946,1.2342921518503212,0.0073027295706106325
38,RNA-2,5mC,18.0,3,5,Eukaryote Total RNA Nano_2020-10-21_16-34-50_5_nts.csv,[ 23.3095643  237.86766939 966.5429956 ],866.5429956037441,1066.5429956037442,214.60019778536912,415.6574649114696,366.8503174116154,-48.80714749985424,-0.22743291014423186,-0.0012725977520071767
